<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:37:57.090
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
3.100000	-5.521200	0.000000	0.481408
3.110000	-5.521100	0.000000	0.481408
3.120000	-5.521000	0.000000	0.481408
3.130000	-5.521000	0.000000	0.481408
3.140000	-5.520900	0.000000	0.481408
3.150000	-5.520800	0.000000	0.000000
3.160000	-5.520800	0.000000	0.000000
3.170000	-5.520700	0.000000	0.481408
3.180000	-5.520600	0.000000	0.481408
3.190000	-5.520600	0.000000	0.481408
3.200000	-5.520500	0.000000	0.481408
3.210000	-5.520400	0.000000	0.000000
3.220000	-5.520400	0.000000	0.000000
3.230000	-5.520300	0.000000	0.481408
3.240000	-5.520200	0.000000	0.481408
3.250000	-5.520200	0.000000	0.481408
3.260000	-5.520100	0.000000	0.481408
3.270000	-5.520100	0.000000	0.481408
3.280000	-5.520000	0.000000	0.481408
3.290000	-5.520000	0.000000	0.481408
3.300000	-5.519900	0.000000	0.481408
3.310000	-5.519800	0.000000	0.481408
3.320000	-5.519800	0.000000	0.481408
3.330000	-5.519700	0.000000	0.481408
3.340000	-5.519700	0.000000	0.481408
3.350000	-5.519600	0.000000	0.481408
3.360000	-5.519600	0.000000	0.481408
3.370000	-5.519500	0.000000	0.481408
3.380000	-5.519400	0.000000	0.481408
